"Name","Address","City","Zip","lat","lon","Cuisines","Rating","Votes","Price","url"
"Mercurio's","5523 Walnut St,Pittsburgh, PA 15232","Pittsburgh","15232","40.45165","-79.93299","Pizza, Gelato","4.0","283","$$","https://www.yelp.com/biz/mercurios-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Luke Wholey's Wild Alaskan Grille","2106 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.4519212353498","-79.9828073229609","Seafood, Sushi Bars, Cocktail Bars","4.0","339","$$","https://www.yelp.com/biz/luke-wholeys-wild-alaskan-grille-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Morcilla","3519 Butler St,Pittsburgh, PA 15201","Pittsburgh","15201","40.4645572158093","-79.9661576054382","Spanish","4.5","214","$$$","https://www.yelp.com/biz/morcilla-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Park Bruges","5801 Bryant St,Pittsburgh, PA 15206","Pittsburgh","15206","40.47617","-79.92055","Belgian","4.0","259","$$","https://www.yelp.com/biz/park-bruges-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Robert Wholey and Co Fish Market","1711 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.450111","-79.9858749","Grocery, Seafood Markets, Seafood","4.0","205","$$","https://www.yelp.com/biz/robert-wholey-and-co-fish-market-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"S&D Polish Deli","2204 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.4523578","-79.9820206","Polish","4.5","173","$","https://www.yelp.com/biz/s-and-d-polish-deli-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"The Commoner","458 Strawberry Way,Pittsburgh, PA 15219","Pittsburgh","15219","40.4416755558876","-79.9962055881847","American (New), Cocktail Bars, Breakfast & Brunch","4.0","405","$$","https://www.yelp.com/biz/the-commoner-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"The Porch at Schenley","221 Schenley Dr,Schenley Plz,Pittsburgh, PA 15213","Pittsburgh","15213","40.442777","-79.953151","Sandwiches, American (New), Burgers","3.5","518","$$","https://www.yelp.com/biz/the-porch-at-schenley-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Alla Famiglia","804 E Warrington Ave,Pittsburgh, PA 15210","Pittsburgh","15210","40.42161","-79.99346","Italian","4.5","172","$$$$","https://www.yelp.com/biz/alla-famiglia-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Waffles Incaffeinated","2517 E Carson St,Pittsburgh, PA 15203","Pittsburgh","15203","40.42788","-79.9693","Breakfast & Brunch, Waffles, Sandwiches","3.5","399","$$","https://www.yelp.com/biz/waffles-incaffeinated-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"La Palapa, Mexican Gourmet Kitchen","1925 E Carson St,Pittsburgh, PA 15203","Pittsburgh","15203","40.42889","-79.97809","Mexican","4.5","174","$$","https://www.yelp.com/biz/la-palapa-mexican-gourmet-kitchen-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"P&G's Pamela's Diner","5527 Walnut St,Pittsburgh, PA 15232","Pittsburgh","15232","40.4515828357537","-79.9328698390366","Breakfast & Brunch","4.0","259","$","https://www.yelp.com/biz/p-and-gs-pamelas-diner-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Primanti Bros","2 S Market Sq,Pittsburgh, PA 15222","Pittsburgh","15222","40.440287","-80.002585","Sandwiches, American (New), Sports Bars","3.5","609","$","https://www.yelp.com/biz/primanti-bros-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Soba","5847 Ellsworth Ave,Pittsburgh, PA 15232","Pittsburgh","15232","40.45713","-79.92961","Asian Fusion, Japanese, Korean","4.0","286","$$$","https://www.yelp.com/biz/soba-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"The Capital Grille","301 5th Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.4407195879422","-80.0000391542347","Steakhouses, Seafood, Wine Bars","4.0","240","$$$$","https://www.yelp.com/biz/the-capital-grille-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Bar Marco","2216 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.45248","-79.98155","Wine Bars, Cafes","4.0","258","$$","https://www.yelp.com/biz/bar-marco-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Tessaro's","4601 Liberty Ave,Pittsburgh, PA 15224","Pittsburgh","15224","40.46278","-79.95064","Steakhouses, Burgers, American (Traditional)","4.0","357","$$","https://www.yelp.com/biz/tessaros-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Pork & Beans","136 6th St,Pittsburgh, PA 15222","Pittsburgh","15222","40.4430332882836","-80.0024601607132","Smokehouse, Sandwiches, Cocktail Bars","4.0","262","$$","https://www.yelp.com/biz/pork-and-beans-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
