Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Bluebird Kitchen,4.0,209,$$,American (New),40.4404639452696,-80.0017393380404,221 Forbes Ave,Pittsburgh, PA 15222
Condado Tacos,4.0,274,$$,Mexican,40.44374,-79.99546,971 Liberty Ave,Pittsburgh, PA 15222
Umami,4.0,163,$$,Sushi Bars,40.466661080718,-79.9641515314579,202 38th St,(Above Round Corner Cantina),Pittsburgh, PA 15201
Gaby Et Jules,4.0,187,$$,Bakeries,40.438345,-79.921365,5837 Forbes Ave,Pittsburgh, PA 15217
Cafe Raymond,4.5,92,$$,Breakfast & Brunch,40.45146,-79.98388,2009 Penn Ave,Pittsburgh, PA 15222
Carson Street Deli & Craft Beer Bar,4.5,112,$$,Delis,40.42893,-79.98308,1507 E Carson St,Pittsburgh, PA 15203
Burgatory,4.0,196,$$,Burgers,40.4460819,-80.0111375,342 N Shore Dr,Pittsburgh, PA 15212
Harris Grill,3.5,323,$$,American (Traditional),40.45596,-79.93134,5747 Ellsworth Ave,Pittsburgh, PA 15232
Madonna's Mediterranean Cuisine,4.5,77,$,Mediterranean,40.4389554,-79.9993319,408 Smithfield St,Pittsburgh, PA 15219
Edgar Tacos Stand,5.0,54,$,Street Vendors,40.455585,-79.977913,2627 Penn Ave,Pittsburgh, PA 15222
Streets On Carson,4.5,99,$$,Tapas/Small Plates,40.4286060880361,-79.9866321310401,1120 E Carson St,Pittsburgh, PA 15203
The Urban Tap,4.0,231,$$,Gastropubs,40.42895,-79.98594,1209 E Carson St,Pittsburgh, PA 15203
Senyai Thai Kitchen,4.5,98,$$,Thai,40.4576253,-79.9288277,5865 Ellsworth Ave,Pittsburgh, PA 15232
Pittsburgh Poke,4.5,81,$$,Sushi Bars,40.4412299820832,-80.0034700334072,500 Liberty Ave,Pittsburgh, PA 15222
Peppi's,4.5,98,$,Sandwiches,40.4516599,-80.01756,927 Western Ave,Pittsburgh, PA 15233
The Pretzel Shop,4.5,98,$,American (Traditional),40.4280014038086,-79.9722442626953,2316 E Carson St,Pittsburgh, PA 15203
Bigham Tavern,4.0,218,$$,Chicken Wings,40.432386,-80.015066,321 Bigham St,Pittsburgh, PA 15211
Thai Gourmet,4.5,160,$$,Thai,40.46318,-79.95144,4505 Liberty Ave,Pittsburgh, PA 15224
Piada Italian Street Food,4.0,150,$,Italian,40.44048,-79.95771,3600 Forbes Ave,Pittsburgh, PA 15213
Pirata,4.0,175,$$,Caribbean,40.4402384502573,-80.0015466783182,274 Forbes Ave,Pittsburgh, PA 15222
Cafe Moulin,4.0,188,$$,Breakfast & Brunch,40.4516222360555,-79.9331853806125,732 Filbert St,Pittsburgh, PA 15232
Teppanyaki Kyoto,4.0,148,$$,Japanese,40.4757080078125,-79.9204254150391,5808 Bryant St,Pittsburgh, PA 15206
The Smiling Moose,4.0,126,$$,Bars,40.428596496582,-79.9849472045898,1306 E Carson St,Pittsburgh, PA 15203
YinzBurgh BBQ,4.0,159,$$,Barbeque,40.4552574158569,-79.9461903067314,4903 Baum Blvd,Pittsburgh, PA 15213
Geppetto Cafe,4.5,118,$$,Creperies,40.4701499,-79.961,4121 Butler St,Pittsburgh, PA 15201
Girasole Restaurant,4.0,297,$$,Italian,40.45121,-79.93462,733 Copeland St,Pittsburgh, PA 15232
Kelly O's Diner,4.0,186,$,Diners,40.45397,-79.9811,2400 Smallman St,Pittsburgh, PA 15222
Industry Public House,3.5,481,$$,American (New),40.4707662016153,-79.9603226780891,4305 Butler St,Pittsburgh, PA 15201
Sichuan Gourmet,4.0,238,$$,Szechuan,40.43588,-79.92307,1900 Murray Ave,Pittsburgh, PA 15217
The Vandal,4.0,163,$$,Breakfast & Brunch,40.47079,-79.95999,4306 Butler St,Pittsburgh, PA 15201
Carmella's Plates & Pints,4.0,143,$$,Cocktail Bars,40.4283922157734,-79.9787491187453,1908 E Carson St,Pittsburgh, PA 15203
Fuel & Fuddle,3.5,277,$$,Gastropubs,40.4412454,-79.9566016,212 Oakland Ave,Pittsburgh, PA 15213
Sienna On The Square,4.0,207,$$,Italian,40.441166189758,-80.0022912025452,22 Market Sq,Pittsburgh, PA 15222
Big Jim's Restaurant & Bar,4.0,164,$$,American (Traditional),40.4270451,-79.9496055,201 Saline St,Pittsburgh, PA 15207
How Lee Chinese Food,4.0,217,$$,Chinese,40.4379,-79.91951,5888 Forbes Ave,Pittsburgh, PA 15217
Max's Allegheny Tavern,4.0,204,$$,German,40.45517,-79.99981,537 Suismon St,Pittsburgh, PA 15212
Té Café,4.5,99,$,Coffee & Tea,40.43457,-79.92301,2000 Murray Ave,Pittsburgh, PA 15217
Little Tokyo Bistro,4.5,105,$$,Sushi Bars,40.4281845092773,-79.9753036499023,2122 E Carson St,Pittsburgh, PA 15203
Station,4.0,161,$$,Cocktail Bars,40.4611511230469,-79.9485244750977,4744 Liberty Ave,Pittsburgh, PA 15224
The Summit,4.5,110,$$,Cocktail Bars,40.4307117137173,-80.0074910502799,200 Shiloh St,Pittsburgh, PA 15211
Il Pizzaiolo,3.5,258,$$,Pizza,40.380192,-80.044459,703 Washington Rd,Pittsburgh, PA 15228
Pitaland,4.5,81,$,Bakeries,40.39487,-80.02208,620 Brookline Blvd,Pittsburgh, PA 15226
Totopo Mexican Kitchen and Bar,4.0,197,$$,Bars,40.380953114953,-80.0445051301809,660 Washington Rd,Pittsburgh, PA 15228
Cop Out Pierogies,4.5,68,$,Polish,40.49621,-79.9440599,350 Butler St,Pittsburgh, PA 15223
Stone Neapolitan Pizzeria,4.0,132,$$,Pizza,40.4409409013142,-80.0061373024467,300 Liberty Ave,Ste 100,Pittsburgh, PA 15222
Pamela's Upstreet Diner,4.0,148,$,Breakfast & Brunch,40.43762,-79.92283,1711 Murray Ave,Pittsburgh, PA 15217
Mad Mex - Shadyside,3.5,284,$$,Mexican,40.458283,-79.925318,220 S Highland Ave,Pittsburgh, PA 15206
